TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,KEY_TYPE,ORDINAL_POSITION
dbo,CSIWebResponseDetails,CSIResponseRecID,bigint,NULL,NO,NULL,PRIMARY KEY,1
dbo,CSIWebResponseDetails,RequestInvokedFrom,int,NULL,YES,NULL,,2
dbo,CSIWebResponseDetails,VendorOrgId,bigint,NULL,YES,NULL,FOREIGN KEY ? Organizations.OrganizationID,3
dbo,CSIWebResponseDetails,ResponseNeededForID,bigint,NULL,YES,NULL,,4
dbo,CSIWebResponseDetails,EntityID,bigint,NULL,YES,NULL,,5
dbo,CSIWebResponseDetails,EntityNumber,bigint,NULL,YES,NULL,,6
dbo,CSIWebResponseDetails,ElementNodeName,nvarchar,200,YES,NULL,,7
dbo,CSIWebResponseDetails,ElementNodeValue,nvarchar,1500,YES,NULL,,8
dbo,CSIWebResponseDetails,DeletedOn,datetime,NULL,YES,NULL,,9
dbo,CSIWebResponseDetails,DeletedBy,uniqueidentifier,NULL,YES,NULL,,10
dbo,EmployeeQuizAnswers-XXX Discard,QuizQuestAnsId,bigint,NULL,NO,NULL,PRIMARY KEY,1
dbo,EmployeeQuizAnswers-XXX Discard,QuestionId,bigint,NULL,NO,NULL,,2
dbo,EmployeeQuizAnswers-XXX Discard,CorrectAnswer,nvarchar,500,YES,NULL,,3
dbo,EmployeeQuizAnswers-XXX Discard,DeletedOn,datetime,NULL,YES,NULL,,4
dbo,EmployeeQuizAnswers-XXX Discard,DeletedBy,uniqueidentifier,NULL,YES,NULL,,5
dbo,OrganizationsPrequalificationOpenPeriod,OrgPrequalificationPeriodId,bigint,NULL,NO,NULL,PRIMARY KEY,1
dbo,OrganizationsPrequalificationOpenPeriod,VendorId,bigint,NULL,NO,NULL,FOREIGN KEY ? Organizations.OrganizationID,2
dbo,OrganizationsPrequalificationOpenPeriod,PrequalificationPeriodStart,date,NULL,NO,NULL,,3
dbo,OrganizationsPrequalificationOpenPeriod,PrequalificationPeriodClose,date,NULL,NO,NULL,,4
dbo,OrganizationsPrequalificationOpenPeriod,PeriodStatus,int,NULL,NO,((0)),,5
dbo,OrganizationsPrequalificationOpenPeriod,TotalPaymentRecieved,decimal,NULL,NO,NULL,,6
dbo,OrganizationsPrequalificationOpenPeriod,DeletedOn,datetime,NULL,YES,NULL,,7
dbo,OrganizationsPrequalificationOpenPeriod,DeletedBy,uniqueidentifier,NULL,YES,NULL,,8
dbo,Prequalification,PrequalificationId,bigint,NULL,NO,NULL,PRIMARY KEY,1
dbo,Prequalification,VendorId,bigint,NULL,NO,NULL,FOREIGN KEY ? Organizations.OrganizationID,2
dbo,Prequalification,PrequalificationStatusId,bigint,NULL,NO,NULL,FOREIGN KEY ? PrequalificationStatus.PrequalificationStatusId,3
dbo,Prequalification,ClientId,bigint,NULL,NO,NULL,FOREIGN KEY ? Organizations.OrganizationID,4
dbo,Prequalification,UserIdAsCompleter,uniqueidentifier,NULL,YES,NULL,FOREIGN KEY ? SystemUsers.UserId,5
dbo,Prequalification,UserIdAsSigner,uniqueidentifier,NULL,YES,NULL,FOREIGN KEY ? SystemUsers.UserId,6
dbo,Prequalification,PrequalificationStart,datetime,NULL,NO,NULL,,7
dbo,Prequalification,PrequalificationFinish,datetime,NULL,NO,NULL,,8
dbo,Prequalification,PrequalificationCreate,datetime,NULL,NO,NULL,,9
dbo,Prequalification,PrequalificationSubmit,datetime,NULL,YES,NULL,,10
dbo,Prequalification,ClientTemplateId,uniqueidentifier,NULL,YES,NULL,FOREIGN KEY ? ClientTemplates.ClientTemplateID,11
dbo,Prequalification,OverridePayment-XXX,bit,NULL,YES,NULL,,12
dbo,Prequalification,OverirdeAmount-XXX,decimal,NULL,YES,NULL,,13
dbo,Prequalification,PaymentReceived,bit,NULL,YES,NULL,,14
dbo,Prequalification,UserIdLoggedIn,uniqueidentifier,NULL,YES,NULL,FOREIGN KEY ? SystemUsers.UserId,15
dbo,Prequalification,RequestForMoreInfo,bit,NULL,YES,NULL,,16
dbo,Prequalification,TotalPaymentReceivedAmount,decimal,NULL,YES,NULL,,17
dbo,Prequalification,PaymentReceivedDateXXX,datetime,NULL,YES,NULL,,18
dbo,Prequalification,PaymentTransactionIdXXX,nvarchar,100,YES,NULL,,19
dbo,Prequalification,TransactionMetaDataXXX,nvarchar,3000,YES,NULL,,20
